id,name,variant,price,brand,image_name,image_url,category
97003-29000_11000,Figurformendes Shapewear-Top,schwarz,39.99,gerry weber,figurformendes-shapewear-top-02.jpg,https://pic.gerryweber.com/static/i/14_97003-29000_11000_02/pdmain/figurformendes-shapewear-top-02.jpg,Tops
97003-29000_90073,Figurformendes Shapewear-Top,beige,39.99,gerry weber,figurformendes-shapewear-top-01.jpg,https://pic.gerryweber.com/static/i/14_97003-29000_90073_01/pdmain/figurformendes-shapewear-top-01.jpg,Tops
971017-29239_1100,T-Shirt mit Zierring EcoVero,black,35.99,gerry weber,t-shirt-mit-zierring-ecovero-01.jpg,https://pic.gerryweber.com/static/i/14_971017-29239_1100_01/pdmain/t-shirt-mit-zierring-ecovero-01.jpg,Oberteile
971017-29239_9700,T-Shirt mit Zierring EcoVero,offwhite,35.99,gerry weber,t-shirt-mit-zierring-ecovero-01.jpg,https://pic.gerryweber.com/static/i/14_971017-29239_9700_01/pdmain/t-shirt-mit-zierring-ecovero-01.jpg,Oberteile
971018-29238_1103,Ringel-Shirt mit Ziersteinen,"black, offwhite ringel",49.99,gerry weber,ringel-shirt-mit-ziersteinen-01.jpg,https://pic.gerryweber.com/static/i/14_971018-29238_1103_01/pdmain/ringel-shirt-mit-ziersteinen-01.jpg,Oberteile
972006-29503_1100,Baumwoll-Pullover aus Rippstrick,black,69.99,gerry weber,baumwoll-pullover-aus-rippstrick-01.jpg,https://pic.gerryweber.com/static/i/14_972006-29503_1100_01/pdmain/baumwoll-pullover-aus-rippstrick-01.jpg,Oberteile
972006-29503_4110,Baumwoll-Pullover aus Rippstrick,blazing yellow,49.99,gerry weber,baumwoll-pullover-aus-rippstrick-01.jpg,https://pic.gerryweber.com/static/i/14_972006-29503_4110_01/pdmain/baumwoll-pullover-aus-rippstrick-01.jpg,Oberteile
100001-21000_70210,Sneaker Maria,taupe,99.99,gerry weber,sneaker-maria-01.jpg,https://pic.gerryweber.com/static/i/1_100001-21000_70210_01/pdmain/sneaker-maria-01.jpg,Schuhe
100002-21000_70303,Slipper Athen,cognac,99.99,gerry weber,slipper-athen-01.jpg,https://pic.gerryweber.com/static/i/1_100002-21000_70303_01/pdmain/slipper-athen-01.jpg,Schuhe
100004-21000_70210,Sneaker Lilli,taupe,89.99,gerry weber,sneaker-lilli-02.jpg,https://pic.gerryweber.com/static/i/1_100004-21000_70210_02/pdmain/sneaker-lilli-02.jpg,Schuhe
