FileName,images,loc,ean,name,variant,price,category,description,MPN
11_330025-19091_8042-blazer-mit-stretch-komfort.txt,"https://pic.gerryweber.com/static/i/11_330025-19091_8042_01/pdmain/blazer-mit-stretch-komfort-01.jpg,https://pic.gerryweber.com/static/i/11_330025-19091_8042_02/pdmain/blazer-mit-stretch-komfort-02.jpg,https://pic.gerryweber.com/static/i/11_330025-19091_8042_03/pdmain/blazer-mit-stretch-komfort-03.jpg,https://pic.gerryweber.com/static/i/11_330025-19091_8042_100/pdmain/blazer-mit-stretch-komfort-100.jpg",https://www.gerryweber.com/de-de/p/11_330025-19091_8042-blazer-mit-stretch-komfort/,4049598132898,"Blazer mit Stretch-Komfort","Blau/Gelb Ringel",79.99,"Sportive Blazer","Der Struktur-Blazer macht sich mit elastischem Tragekomfort und der taillierten Passform unverzichtbar für die unterschiedlichsten Looks und Anlässe.",330025-19091_8042
11_330061-19096_81000-taillierter-blazer.txt,"https://pic.gerryweber.com/static/i/11_330061-19096_81000_01/pdmain/taillierter-blazer-01.jpg,https://pic.gerryweber.com/static/i/11_330061-19096_81000_02/pdmain/taillierter-blazer-02.jpg,https://pic.gerryweber.com/static/i/11_330061-19096_81000_03/pdmain/taillierter-blazer-03.jpg,https://pic.gerryweber.com/static/i/11_330061-19096_81000_100/pdmain/taillierter-blazer-100.jpg",https://www.gerryweber.com/de-de/p/11_330061-19096_81000-taillierter-blazer/,4049598142453,"Taillierter Blazer",Marine,129.99,"Elegante Blazer","Figurbetonter Blazer aus gefplegter Stretch-Qualität. Styling-Tipp: Mit der passenden Hose entsteht ein stilvoller Anzug!",330061-19096_81000
11_331001-19657_11000-offene-shirtjacke.txt,"https://pic.gerryweber.com/static/i/11_331001-19657_11000_01/pdmain/offene-shirtjacke-01.jpg,https://pic.gerryweber.com/static/i/11_331001-19657_11000_02/pdmain/offene-shirtjacke-02.jpg,https://pic.gerryweber.com/static/i/11_331001-19657_11000_03/pdmain/offene-shirtjacke-03.jpg,https://pic.gerryweber.com/static/i/11_331001-19657_11000_100/pdmain/offene-shirtjacke-100.jpg",https://www.gerryweber.com/de-de/p/11_331001-19657_11000-offene-shirtjacke/,4049598107018,"Offene Shirtjacke",Schwarz,49.99,"Leichte Jacken","Passt immer! Die offene Shirtjacke aus Flammgarn-Jersey mit Schalkragen und abgerundetem Saum ist ein echtes Kombi-Talent.",331001-19657_11000
11_331001-19657_81000-offene-shirtjacke.txt,"https://pic.gerryweber.com/static/i/11_331001-19657_81000_01/pdmain/offene-shirtjacke-01.jpg,https://pic.gerryweber.com/static/i/11_331001-19657_81000_02/pdmain/offene-shirtjacke-02.jpg,https://pic.gerryweber.com/static/i/11_331001-19657_81000_03/pdmain/offene-shirtjacke-03.jpg,https://pic.gerryweber.com/static/i/11_331001-19657_81000_100/pdmain/offene-shirtjacke-100.jpg",https://www.gerryweber.com/de-de/p/11_331001-19657_81000-offene-shirtjacke/,4049598107094,"Offene Shirtjacke",Marine,49.99,"Leichte Jacken","Passt immer! Die offene Shirtjacke aus Flammgarn-Jersey mit Schalkragen und abgerundetem Saum ist ein echtes Kombi-Talent.",331001-19657_81000
11_331001-19657_9700-offene-shirtjacke.txt,"https://pic.gerryweber.com/static/i/11_331001-19657_9700_01/pdmain/offene-shirtjacke-01.jpg,https://pic.gerryweber.com/static/i/11_331001-19657_9700_02/pdmain/offene-shirtjacke-02.jpg,https://pic.gerryweber.com/static/i/11_331001-19657_9700_03/pdmain/offene-shirtjacke-03.jpg,https://pic.gerryweber.com/static/i/11_331001-19657_9700_100/pdmain/offene-shirtjacke-100.jpg,https://pic.gerryweber.com/static/i/11_331001-19657_9700_101/pdmain/offene-shirtjacke-101.jpg,https://pic.gerryweber.com/static/i/11_331001-19657_9700_102/pdmain/offene-shirtjacke-102.jpg",https://www.gerryweber.com/de-de/p/11_331001-19657_9700-offene-shirtjacke/,4049598292738,"Offene Shirtjacke",Offwhite,19.99,"Leichte Jacken","Passt immer! Die offene Shirtjacke aus Flammgarn-Jersey mit Schalkragen und abgerundetem Saum ist ein echtes Kombi-Talent.",331001-19657_9700
11_360047-19111_99700-blusenshirt-mit-wellen-design.txt,"https://pic.gerryweber.com/static/i/11_360047-19111_99700_01/pdmain/blusenshirt-mit-wellen-design-01.jpg,https://pic.gerryweber.com/static/i/11_360047-19111_99700_02/pdmain/blusenshirt-mit-wellen-design-02.jpg,https://pic.gerryweber.com/static/i/11_360047-19111_99700_03/pdmain/blusenshirt-mit-wellen-design-03.jpg,https://pic.gerryweber.com/static/i/11_360047-19111_99700_100/pdmain/blusenshirt-mit-wellen-design-100.jpg",https://www.gerryweber.com/de-de/p/11_360047-19111_99700-blusenshirt-mit-wellen-design/,4049598133437,"Blusenshirt mit Wellen-Design",Off-white,59.99,Blusenshirts,"Ein außergewöhnliches Blusenshirt mit raffiniertem Wellen-Design in der Front, das auch für besondere Anlässe geeignet ist.",360047-19111_99700
11_360099-19106_3032-blusenshirt.txt,"https://pic.gerryweber.com/static/i/11_360099-19106_3032_01/pdmain/blusenshirt-01.jpg,https://pic.gerryweber.com/static/i/11_360099-19106_3032_02/pdmain/blusenshirt-02.jpg,https://pic.gerryweber.com/static/i/11_360099-19106_3032_03/pdmain/blusenshirt-03.jpg,https://pic.gerryweber.com/static/i/11_360099-19106_3032_100/pdmain/blusenshirt-100.jpg",https://www.gerryweber.com/de-de/p/11_360099-19106_3032-blusenshirt/,4049598201518,Blusenshirt,"Lila/Pink Ringel",49.99,Blusenshirts,"Das Blusenshirt begeistert durch das dezente, florale Allover-Muster und inspiriert Sie zu individuellen Outfit-Kreationen. Der raffiniert gearbeitete Ausschnitt verleiht zudem eine verspielte Note.",360099-19106_3032
11_371027-19654_99700-blusenshirt-mit-volant.txt,"https://pic.gerryweber.com/static/i/11_371027-19654_99700_01/pdmain/blusenshirt-mit-volant-01.jpg,https://pic.gerryweber.com/static/i/11_371027-19654_99700_02/pdmain/blusenshirt-mit-volant-02.jpg,https://pic.gerryweber.com/static/i/11_371027-19654_99700_03/pdmain/blusenshirt-mit-volant-03.jpg,https://pic.gerryweber.com/static/i/11_371027-19654_99700_100/pdmain/blusenshirt-mit-volant-100.jpg",https://www.gerryweber.com/de-de/p/11_371027-19654_99700-blusenshirt-mit-volant/,4049598109647,"Blusenshirt mit Volant",Off-white,39.99,Blusenshirts,"Ein Upgrader für jeden Look! Das Blusenshirt mit Chiffon-Front wird durch den verspielten Volant stilgemäß ergänzt. Gleichzeitig sorgt der weiche Jersey für ein tolles Tragegefühl.",371027-19654_99700
11_371037-19670_1103-langarmshirt-mit-ringel-struktur.txt,"https://pic.gerryweber.com/static/i/11_371037-19670_1103_01/pdmain/langarmshirt-mit-ringel-struktur-01.jpg,https://pic.gerryweber.com/static/i/11_371037-19670_1103_02/pdmain/langarmshirt-mit-ringel-struktur-02.jpg,https://pic.gerryweber.com/static/i/11_371037-19670_1103_03/pdmain/langarmshirt-mit-ringel-struktur-03.jpg,https://pic.gerryweber.com/static/i/11_371037-19670_1103_100/pdmain/langarmshirt-mit-ringel-struktur-100.jpg",https://www.gerryweber.com/de-de/p/11_371037-19670_1103-langarmshirt-mit-ringel-struktur/,4049598110049,"Langarmshirt mit Ringel-Struktur","Black Ringel",39.99,Langarmshirts,"Das Langarmshirt erhält mit der Ringel-Struktur und dem Turtleneckkragen seinen Trend-Charakter.",371037-19670_1103
11_371037-19670_8104-langarmshirt-mit-ringel-struktur.txt,"https://pic.gerryweber.com/static/i/11_371037-19670_8104_01/pdmain/langarmshirt-mit-ringel-struktur-01.jpg,https://pic.gerryweber.com/static/i/11_371037-19670_8104_02/pdmain/langarmshirt-mit-ringel-struktur-02.jpg,https://pic.gerryweber.com/static/i/11_371037-19670_8104_03/pdmain/langarmshirt-mit-ringel-struktur-03.jpg,https://pic.gerryweber.com/static/i/11_371037-19670_8104_100/pdmain/langarmshirt-mit-ringel-struktur-100.jpg",https://www.gerryweber.com/de-de/p/11_371037-19670_8104-langarmshirt-mit-ringel-struktur/,4049598110179,"Langarmshirt mit Ringel-Struktur","Navy/offwhite Ringel",59.99,Langarmshirts,"Das Langarmshirt erhält mit der Ringel-Struktur und dem Turtleneckkragen seinen Trend-Charakter.",371037-19670_8104
